K,Inertia,Silhouette_Score
2,976618.731756985,0.4408301725301615
3,608942.2959353758,0.4617418792530107
4,507137.991537261,0.37044599690543895
5,443178.4578164775,0.36803313987343306
6,401188.6259894186,0.30990221475237384
7,371903.85895941744,0.3201650312645157
8,343994.80213000224,0.27698981313955423
9,318348.4659613917,0.2934985592447122
10,297766.04187639325,0.2891079430611658
